段落ID,篇号,原译,校订译文,说明
A0699-B0006,699,荷鲁斯·卢佩卡尔是帝皇在人类帝国早期创造的20位原体之一，就在纷争时代结束后。与其他原体一样，荷鲁斯被混沌诸神从泰拉分散，并被安置在一个遥远的世界，试图阻止帝国时代的到来。传统说法认为，荷鲁斯是第一位被重新发现的原体，在大远征中与他的父亲并肩作战，担任影月苍狼之主。荷鲁斯成为帝皇最宠爱的儿子，深受其大多数兄弟原体的爱戴，最终成为大远征的统帅，在权力和声望上仅次于帝皇本人。但尽管如此，他最终还是被混沌的力量所腐化，并发起了一场跨越银河系的内战，即荷鲁斯叛乱，对抗他帮助创建的帝国。,荷鲁斯·卢佩卡尔是帝皇在纷争时代结束后、人类帝国初创时期创造的二十位原体之一。与其他原体一样，荷鲁斯也被混沌诸神从泰拉掳走，散落到遥远的世界；诸神企图以此阻止帝国时代的到来。按照传统记载，他是第一位被重新寻回的原体，随后作为影月苍狼之主，在大远征中与父亲并肩作战。他成为帝皇最宠爱的儿子，也深受大多数原体兄弟的喜爱，最终获任大远征的战帅，权力和威望都被视为仅次于帝皇。然而，他最终仍被混沌力量腐化，向自己参与缔造的帝国发动了席卷银河的内战——荷鲁斯之乱。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0012,699,当荷鲁斯被分散时，他的舱体降落在靠近太阳系的科索尼亚星球上。他被科索尼亚帮派霸主哈格登发现，并被冠以“无名”的纳古尔。纳古尔在哈格登的帮派下成长了一段时间，卷入了主宰着科索尼亚星球的、发生在其地表之下的无休止的帮派争斗之中。然而，当他来到他抵达科索尼亚的舱室时，他的生活发生了巨大的变化，现在正被机械神教挖掘出来。纳古尔与技术神甫进行了战斗，杀死了一名并回收了武器，然后跑回哈格登。哈格登斥责纳古尔的鲁莽，说他杀死的人会把他们赶回部落藏身处。哈格登拒绝给予纳古尔在这起事件中的“杀戮之名”，这让这位年轻的帮派成员非常愤怒。然而，正如哈格登所预测的那样，机械神教到达了他们的部落藏身处，开始从地表挖掘。随着他们周围的房间坍塌，大部分帮派成员死亡，哈格登指示纳古尔杀死他，以赢得他的杀戮之名。在纳古尔表演完这一幕后，他突然获得了对银河系、技术和自己的深藏的记忆。甚至他的身体也开始膨胀，似乎被扳机惊醒了。当技术神甫们终于进入房间时，一位原体站在他面前：纳古尔自称荷鲁斯。,荷鲁斯被抛散后，承载他的舱体降落在靠近太阳系的克苏尼亚。他被当地帮派霸主哈格登发现，并被赋予“纳古尔”这个“无名号”。纳古尔在哈格登的帮派中生活了一段时间，参与了克苏尼亚地下永无休止、主宰着整个世界的帮派战争。后来，他偶然发现机械教正在挖掘自己当初乘坐的舱体，人生由此骤变。他与技术祭司交战，杀死其中一人，夺走对方的武器后跑回哈格登身边。哈格登斥责他鲁莽，警告说对方的人会追踪到他们的部族据点，并拒绝因这次杀戮赐予他“杀戮之名”，令年轻的纳古尔十分愤怒。事情果然如哈格登所料：机械教成员来到据点，从地表向下挖掘。地下厅室开始坍塌，帮派成员大多丧命，哈格登便命令纳古尔杀死自己，以取得杀戮之名。纳古尔照做后，脑中突然涌现出关于银河、技术与自身的深藏记忆，连身体也开始膨大，仿佛某种触发机制唤醒了他。当技术祭司终于进入厅室时，站在他们面前的已是一位原体：纳古尔宣告自己名叫荷鲁斯。,no-name 与 kill-name 是克苏尼亚帮派命名习俗，区分为无名号／杀戮之名。原文“those he killed would chase”按其所属势力追索理解；死者本人追来不合该段因果。
A0699-B0016,699,据荷鲁斯本人说，在他被发现后，他与帮派世界的几位老战友一起从科索尼亚被带到了泰拉。他大张旗鼓地登上了泰拉，跪在帝皇面前，宣誓尽职尽责地为他服务。然而，这个说法有时会引起争议，其他人声称荷鲁斯本人回到了泰拉。由于这较早的发现，荷鲁斯在帝皇身边从一个孩子成长为一个成年人，成为了最强大的原体。三十年来，他是唯一一位被发现的原体。帝皇和荷鲁斯之间的友谊迅速发展，帝皇最终信任他，让他指挥整个帝国的力量。帝皇在莱利斯围城战中救了荷鲁斯的命，他们背对背作战。在另一场战斗中，荷鲁斯偿还了这笔情义，他砍下了一只疯狂的兽人的手臂，因为在戈罗星球它试图扼杀帝皇的生命。,据荷鲁斯自己所述，他被发现后，与几位来自克苏尼亚帮派的年长伙伴一同被带往泰拉。他在盛大的欢迎仪式中降临泰拉，跪在帝皇面前，宣誓尽忠效命。不过，也有人对这一记载持异议，称荷鲁斯是“返回泰拉本身”。由于很早便被寻回，他在帝皇身边从孩童成长为成人，成为最强大的原体。在此后的三十年里，他是唯一已被寻回的原体。父子间的情谊迅速加深，帝皇最终对他信任有加，将帝国全部军事力量的指挥权交给了他。在莱利斯围城战中，两人背靠背作战，帝皇曾救过荷鲁斯一命。后来在戈罗星，一名狂暴的欧克企图扼死帝皇，荷鲁斯斩断其手臂，报答了父亲的救命之恩。,原文以 brought from Cthonia to Terra 和 returned to Terra itself 对举，却未明确后说与前说的实质差别，故保留措辞并列，不擅补出生地或返乡方式。
A0699-B0020,699,与荷鲁斯重聚的第一个兄弟原体是黎曼·鲁斯，他认为鲁斯是个野蛮人，有一定程度的嫉妒。尽管如此，他还是热切地追随帝皇的意愿，希望他能与鲁斯和其他即将被重新发现的原体和睦相处。,荷鲁斯重逢的第一位原体兄弟是黎曼·鲁斯。他觉得鲁斯是个野蛮人，内心也暗藏几分嫉妒。尽管如此，他仍热切遵从帝皇的意愿，努力与鲁斯，以及随后陆续被寻回的其他原体和睦相处。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0023,699,随着帝皇和大远征的推进，荷鲁斯证明了自己是一个战术天才。他非常清楚该派哪支部队去哪里，对那些反对帝皇的人毫不留情，却让无辜者免于不必要的流血。当帝皇离开去寻找并会见重新发现的原体时，荷鲁斯暂时指挥着阿斯塔特军团，这有助于他为战帅的角色做好准备。,随着帝皇率领大远征不断推进，荷鲁斯展现出卓越的战术天赋。他清楚该把哪支部队派往何处，对帝皇的敌人毫不留情，同时又使无辜者免遭不必要的流血。每当帝皇离开、去寻找并迎接被重新发现的原体时，荷鲁斯便暂代阿斯塔特军团的指挥权，这些经历也为他日后出任战帅奠定了基础。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0027,699,在乌兰诺远征中，一个欧克帝国被击败，帝皇认为这场远征是荷鲁斯迄今为止最大的胜利，认为有必要将大远征的部分控制权移交给荷鲁斯，将他提升为帝皇之下的最高指挥官战帅，并授予他对任何和所有帝国军队的指挥权，以及其他权利和荣誉。这使荷鲁斯与几位原体的关系紧张，其中最著名的是安格隆、佩图拉博和康拉德·科兹，他们要么觉得自己配得上这个头衔，要么根本不想听从兄弟的命令。与此同时，黎曼·鲁斯和莱昂·艾尔庄森公开接受了这一决定，但显然对此感到不满，罗伯特·基里曼、察合台可汗和费鲁斯·马努斯仅仅因为责任而支持这一决定。但福格瑞姆、莫塔里安、圣吉列斯、珞珈和罗格·多恩都支持荷鲁斯的提升，以至于他们低头表示支持，荷鲁斯与这些兄弟的关系也越来越亲密。,乌兰诺远征摧毁了一个欧克帝国，帝皇认为这是荷鲁斯迄今最辉煌的胜利，于是决定将大远征的部分统辖权交给他。荷鲁斯获任战帅，成为地位仅次于帝皇的最高官员，得到指挥一切帝国军队的权力，以及其他诸多权利与荣誉。这一任命使他与几位原体的关系趋于紧张，尤其是安格隆、佩图拉博与康拉德·科兹：有人认为自己更配得上这个头衔，也有人只是不愿听命于兄弟。黎曼·鲁斯和莱昂·艾尔’庄森公开接受决定，心中却明显不满；罗保特·基里曼、察合台可汗和费鲁斯·马努斯则纯粹出于职责表示支持。福格瑞姆、莫塔里安、圣吉列斯、珞珈与罗格·多恩却真心拥护荷鲁斯的晋升，向他低头致意。荷鲁斯也因此与这几位兄弟最为亲近。,此处英文将莫塔里安列为真心支持战帅任命者；第695篇另述其不赞同该任命。两处来源表述不一，分别保留，不以一处覆盖另一处。
A0699-B0029,699,在大远征的最后几年，荷鲁斯鼓励其他原体相互竞争，以发现最强大、最有能力的同伴，提高他们的战斗能力，并带领自己的个人部队参加几场著名的战役。在其中一次战役之后，即与英特雷斯的第一次接触之后，荷鲁斯选择行使帝皇授予的权利，重新命名他的个人军团：影月苍狼被重新命名为荷鲁斯之子。但尽管取得了这些成就，泰拉议会的成立和他父亲回到泰拉在荷鲁斯心中造成了深深的怨恨，在叛乱之前，甚至他似乎都没有真正意识到这种怨恨的存在。,在大远征的最后几年，荷鲁斯鼓励其他原体相互竞争，借此找出最强大、最能干的同伴，并磨炼他们的作战能力。他也亲率部队参加了数场著名战役。在其中一次行动——与英特雷斯的首次接触——之后，他决定行使帝皇授予的权利，为自己的军团更名：影月苍狼从此改称荷鲁斯之子。然而，尽管成就斐然，泰拉议会的成立与父亲返回泰拉，仍在他内心埋下了深重的怨恨。直到叛乱爆发之前，他似乎连自己也未真正意识到这份怨恨的存在。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0032,699,荷鲁斯不知道，他的兄弟珞珈和他的整个怀言者军团已经秘密堕入混沌，密谋让荷鲁斯成为毁灭力量对抗帝皇的冠军。在公开行动之前的许多年里，怀言者通过建立战士结社篡夺了忠诚派对其军团的控制。整个阴谋最终在蛮荒世界戴文的一次任务中显现出来；荷鲁斯在战斗中被混沌堕落的欧根·坦巴挥舞的纳垢之剑击伤。他昏迷不醒，在怀言者第一牧师艾瑞巴斯的建议下，世界各地的土著人帮助他康复。然而，绝望的四王议会并不知道，治疗者和艾瑞巴斯本人早已被混沌所腐化，并正在策划整个系列事件。随着他垂死的身体被转移到毒蛇结社，荷鲁斯很快就受到了达文牧师的一项古老的混沌仪式的压迫，而艾瑞巴斯则伪装成已故的哈斯塔·赛詹努斯进入了他的脑海。赛詹努斯的影像向荷鲁斯展示了未来的可怕景象，在那里，帝皇以神的身份统治，一旦原体们失去效用，他就抛弃了他们。艾瑞巴斯还告诉荷鲁斯，混沌诸神是和平的存在，对物质界不感兴趣，正是帝皇在追求神性的过程中意图摧毁他们的帝国。最让荷鲁斯感到不安的是，他被告知帝皇利用亚空间的力量制造了原体。荷鲁斯看到了过去的景象，包括他自己在内的所有原体都分散在银河系中，形成了一个亚空间的漩涡。尽管是由混沌而不是帝皇策划的，但原体的分散似乎向荷鲁斯证实了帝皇在他儿子的创造中使用了肮脏的亚空间魔法。荷鲁斯认为帝皇是个伪君子，因为他禁止对亚空间进行任何研究。,荷鲁斯并不知道，他的兄弟珞珈和整个怀言者军团早已暗中投向混沌，密谋把他塑造成毁灭诸力对抗帝皇的代行者。在公开行动之前的多年里，怀言者通过建立战士结社，逐渐削弱忠诚派对各军团的影响。这场阴谋最终在蛮荒世界戴文的一次任务中全面展开：荷鲁斯被遭到混沌腐化的欧根·坦巴以一柄纳垢之刃刺伤，陷入昏迷。怀言者首席教士艾瑞巴斯建议请当地人施救，四王议会病急求医，却不知道这些治疗者与艾瑞巴斯本人早已被混沌腐化，整件事正是他们一手安排的。荷鲁斯奄奄一息的身体被送入巨蛇会所，戴文祭司随即为他施行古老的混沌仪式；艾瑞巴斯则伪装成已故的哈斯塔·赛詹努斯，进入他的意识。这位假赛詹努斯向他展示骇人的未来幻象：帝皇以神明之姿统治，并在原体失去利用价值后将他们抛弃。艾瑞巴斯还声称，混沌诸神本是对物质宇宙兴趣不大的和平存在，反倒是帝皇为了成神而企图毁灭祂们的领域。最令荷鲁斯不安的是，艾瑞巴斯告诉他，帝皇曾借助亚空间力量创造原体。他还看到一段过去的幻象：所有原体，包括他自己，都经由亚空间漩涡被抛散到银河各处。尽管这一抛散实际上由混沌策划，而非帝皇所为，荷鲁斯仍将之视为父亲曾以污秽亚空间巫术创造子嗣的佐证。他因此认定，禁止研究亚空间的帝皇是个伪君子。,艾瑞巴斯关于诸神和平、帝皇成神目的的说法属于诱导荷鲁斯的叙事，保留“声称”等归属。修正原译把原体被漩涡抛散写成原体变为漩涡的关系。
A0699-B0036,699,尽管很早就意识到这个赛詹努斯只是一个骗子，但荷鲁斯还是出于未知的原因接受了这些启示，他对帝皇的怨恨，已经从他父亲的孤立和泰拉上的秘密计划以及泰拉议会的成立（本质上是将原体从属于凡人）中成长起来，最终表现为彻底的敌意。阻止荷鲁斯皈依的唯一尝试来自他的兄弟赤红之马格努斯，他进入了荷鲁斯的脑海，但无法干涉达文教徒的强大仪式，也无法说服荷鲁斯继续忠于帝皇。荷鲁斯后来通过操纵黎曼·鲁斯对普罗斯佩罗进行全面清洗来对付马格努斯。,荷鲁斯很早便看出眼前的赛詹努斯只是冒牌货，却仍出于不明原因接受了这些所谓的真相。父亲的疏离、泰拉上的秘密计划，以及实际上将原体置于凡人管辖之下的泰拉议会，早已令他日益怨恨；如今，这份怨恨终于化为公开的敌意。唯一试图阻止他倒向混沌的是兄弟赤红马格努斯。马格努斯进入他的意识，却既无法打断戴文邪教徒的强大仪式，也无法说服他继续忠于帝皇。事后，荷鲁斯又操纵黎曼·鲁斯，使其对普罗斯佩罗发动全面清剿，以此对付马格努斯。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0038,699,在戴文的经历之后，荷鲁斯同意与混沌势力结盟，以推翻帝皇，他已经确信帝皇是一个腐败的独裁者，一心想要实现神性，抛弃儿子，转而支持凡人统治者。战帅很快将这一污点介绍给了他直接指挥的军团，使吞世者的安格隆、帝皇之子的福格瑞姆和死亡守卫的莫塔里安皈依了他的事业。最终，荷鲁斯还秘密招募了午夜领主的康拉德·科兹、阿尔法军团的阿尔法瑞斯·欧米伽和钢铁勇士的佩图拉博。荷鲁斯还将机械神教铸造将军卡尔博·哈尔转变为黑暗机械教，以及帝国军队的许多单位。,戴文的经历使荷鲁斯同意与混沌力量结盟，推翻帝皇。他已认定父亲是个腐败的独裁者，一心追求神格，宁愿选择凡人统治者，也要抛弃自己的儿子。战帅很快把腐化带入直接受他指挥的军团，拉拢吞世者的安格隆、帝皇之子的福格瑞姆和死亡守卫的莫塔里安。随后，他又秘密争取到午夜领主的康拉德·科兹、阿尔法军团的阿尔法瑞斯·欧米伽，以及钢铁勇士的佩图拉博。他还使机械修会的铸造将军凯尔博·哈尔倒戈，由此建立黑暗机械教，并拉拢了帝国军的许多部队。,英文此处用 Adeptus Mechanicus，故译机械修会；Dark Mechanicum 为黑暗机械教，不据时代自行改写英文组织名。
A0699-B0042,699,荷鲁斯和其他几个秘密叛徒军团一起转移了伊斯塔万三号，似乎是为了镇压叛乱并恢复帝国的控制。然而，一旦他到达，他就从所有四个军团中派出了特别挑选的部队，派出了所有他知道永远不会加入他公开叛乱的人。一旦他们登上星球，他就开始对整个世界进行病毒轰炸，在几秒钟内杀死了数十亿居民，以及数百名星际战士，地面战消灭了其余的人。据说，这一事件产生的灵能冲击波比星炬还要大。荷鲁斯随后将他的部队重新部署到伊斯塔万五号，在那里，有七个星际战士军团被派来将他押解回泰拉，就他在伊斯塔万三号上的所作所为接受质询。这七个军团中有四个开始反抗帝皇。现在很明显，荷鲁斯面对追捕他的三个忠诚军团时拥有巨大的力量。只有少数星际战士设法逃离了他的部队，回到了泰拉，遇难者中包括钢铁之手原体费鲁斯·马努斯。最终，荷鲁斯会把费鲁斯·马努斯的头骨放在他的王座厅里，在那里他开始私下与它交谈，并哀叹他必须依靠精神错乱的将军和恶魔，而不是像费鲁斯那样真正有能力的战略家。随着荷鲁斯叛乱的蔓延，他声称在帝国北方拥有一个被称为黑暗帝国的个人封地。,荷鲁斯与数支已经暗中叛变的军团开赴伊斯塔万三号，表面上是为了镇压叛乱、恢复帝国统治。抵达后，他从随行的四个军团中挑出自己明知绝不会参与公开反叛的战士，将他们全部派往地表，随后以病毒炸弹轰炸整个世界。数十亿居民和数百名星际战士在数秒内丧命，剩余忠诚者则在地面战争中被消灭。据说，这场浩劫产生的灵能冲击波甚至压过了星炬的信号。荷鲁斯随后转移至伊斯塔万五号，迎战奉命将他押回泰拉、调查伊斯塔万三号事件的七个星际战士军团。然而，这七个军团中有四个临阵背叛帝皇，转而追杀其余三个忠诚军团，荷鲁斯掌握的庞大力量至此暴露无遗。只有少数星际战士逃脱，并成功返回泰拉。钢铁之手原体费鲁斯·马努斯也在死者之列。后来，荷鲁斯将费鲁斯的头骨置于王座厅，私下对着它说话，哀叹自己只能依赖精神失常的将领与恶魔，却得不到费鲁斯这样真正高明、卓有成效的战略家。随着叛乱蔓延，他又在帝国北部划出自己的领地，称为黑暗帝国。,原文是荷鲁斯追杀留下的三个忠诚軍团，不是三个军团追捕荷鲁斯。Dark Empire 为其北部领地，区别后世 Imperium Nihilus 帝国暗面。
A0699-B0043,699,Ascension 升魔,Ascension 力量升华,Ascension 在本段指摩洛之行后力量升华；英文未称其升为恶魔亲王，原“升魔”过度限定。
A0699-B0045,699,在德韦尔之战后沙德拉克·梅杜森的暗杀企图失败后，荷鲁斯恢复了帝皇抹去的失去的记忆，即帝皇在摩洛上解封黑暗力量的记忆。荷鲁斯入侵星球，希望获得与父亲相同的能力。荷鲁斯最终设法进入了大门，在一段未指明但极长的时间后，他的力量大大增强，离开了亚空间。虽然在物质界中的时间只是片刻，但荷鲁斯在亚空间中呆了很长时间，他明显变老了。在亚空间内部似乎是永恒的，荷鲁斯赢得了一千个王国，积累了数十亿的恶魔追随者，并挑战了诸神。最终，荷鲁斯强行获得了与帝皇相同的力量，但凭借着他自己的意志力，而且没有像他父亲那样进行欺骗。然而，他拒绝了在亚空间中占据一席之地，而是选择凭借自己新获得的力量重返实体宇宙，向帝皇发起战争。在复仇之魂号上，荷鲁斯在他的前四王议会顾问加维尔·洛肯领导的游侠骑士的渗透中幸存下来。这次尝试失败了，荷鲁斯在游侠骑士逃脱之前杀死了拉克顿·科鲁兹。,德威尔之战后，沙德拉克·梅杜森刺杀荷鲁斯未遂。随后，荷鲁斯恢复了一段被帝皇抹去的记忆：父亲曾在摩洛开启黑暗力量。为获得同样的能力，他入侵了这颗星球，并最终穿过那道门户。他在亚空间度过了一段无法确知、却极其漫长的岁月，离开时力量已大幅增强。物质宇宙中只过去片刻，他却已经苍老了许多。在仿佛永恒的亚空间征战中，他征服了上千个王国，聚集数十亿恶魔追随者，并与诸神抗衡。按照这段记载的叙述，他最终凭自己的意志强行夺得了帝皇曾获得的力量，而不像父亲那样借助欺骗。他拒绝留在亚空间，选择携带新力量返回物质宇宙，与帝皇开战。回到复仇之魂号后，他又遭遇由昔日四王议会顾问加维尔·洛肯率领的游侠骑士潜入袭击。行动失败，荷鲁斯在游侠骑士逃走之前杀死了亚克顿·克鲁兹。,关于荷鲁斯凭意志取力、帝皇曾用欺骗的对比属于此段记载的叙述，未据此作独立设定认证。
A0699-B0049,699,现在，荷鲁斯拥有神的力量，并凭借新发现的能力保持了他以前年轻的外表，于是他制定了一条穿过帝国的路线，试图到达泰拉，最终杀死帝皇并登上皇位。然而，在特里索兰，他遇到了黎曼·鲁斯和他的太空野狼，他们在摩洛之战中通过游侠骑士刻印的符文追踪了复仇之魂。鲁斯和一大群太空野狼登上了复仇之魂号，两位原体面对面。鲁斯对他兄弟的遭遇感到厌恶。尽管如此，荷鲁斯还是恳求鲁斯加入他的行列，帮助他推翻四号，揭露他的谎言。没有人感到惊讶，鲁斯拒绝了荷鲁斯，两人展开了一场激烈的战斗。尽管荷鲁斯拥有魔法般的力量，但由于挥舞着鲁斯之矛，鲁斯得到了保护。因此，这归结为一场纯粹的力量之战，尽管鲁斯的速度很快，但荷鲁斯还是占据了主导地位。荷鲁斯用他的爪子抓住了鲁斯，但鲁斯挣脱了盔甲，刺穿血肉，将鲁斯之矛刺向了战帅方向。然而，在最后一秒，鲁斯犹豫了一下，没有出手，只是部分刺穿了荷鲁斯的身体。伤口仍然是毁灭性的，更重要的是，长矛的力量清除了荷鲁斯自摩洛以来遭受的腐化。在战斗中，鲁斯第一次看到荷鲁斯·卢佩卡尔在他面前，而不是混沌的造物。,荷鲁斯此时拥有神明般的力量，也能用新获得的能力维持先前年轻的容貌。他开始一路杀向泰拉，企图杀死帝皇，取而代之。然而，在特里索兰，黎曼·鲁斯与太空野狼拦住了他：游侠骑士在摩洛之战中留下的符文，使野狼得以追踪复仇之魂号。鲁斯率领大批战士登舰，与荷鲁斯当面对峙。他厌恶兄弟如今的模样，荷鲁斯却仍恳求他加入自己，一同推翻帝皇、揭露父亲的谎言。鲁斯毫不意外地拒绝了，两位原体随即展开激战。鲁斯之矛保护着持有者，使荷鲁斯的巫术难以奏效，战斗因而化为纯粹的力量较量。即使鲁斯速度惊人，荷鲁斯仍占据上风，并用利爪钩住了他。鲁斯挣脱了被钩住的盔甲，连同受穿刺的血肉一起撕开，反手将长矛刺向战帅的身体。然而，在给予致命一击的最后一瞬，他犹豫了，只刺入荷鲁斯的侧腹，没有贯穿。伤势依旧惨重，而更关键的是，长矛的力量清除了荷鲁斯自摩洛以来沾染的腐化。交战至今，鲁斯第一次看见站在面前的是荷鲁斯·卢佩卡尔，而非混沌怪物。,Russ broke free of his armor and impaled flesh 指从钩住的盔甲与血肉中挣脱；修正原译行动顺序和施受关系。
A0699-B0051,699,尽管受到长矛的影响，荷鲁斯仍然致力于摧毁帝皇，并拒绝了鲁斯返回泰拉并允许帝皇治愈他的提议。两位原体再次发生冲突，这次鲁斯被荷鲁斯的爪子严重击伤。当荷鲁斯站在鲁斯身边，准备用破世者进行最后一击时，一只太空野狼冲向他的原体，被荷鲁斯打到了一边。很快，更多的人来了，然后是数百人，直到荷鲁斯被一群绝望的太空野狼团团围住。分心给了比约恩足够的时间把鲁斯拖回他的旗舰赫拉芬克尔号并逃跑。战斗结束后，荷鲁斯命令阿巴顿将野狼追捕到雅兰特，但私下里对战争中洒下的鲜血表示遗憾。,即使受到长矛的影响，荷鲁斯仍执意毁灭帝皇，拒绝了鲁斯返回泰拉、让父亲为他治疗的提议。两位原体再度交锋，这一次鲁斯被荷鲁斯的利爪重创。荷鲁斯站在倒地的兄弟面前，正要挥下破世者给予最后一击，一名太空野狼冲来救援，却被他随手击飞。接着，更多战士冲了上来，最终数百名战士一齐扑向荷鲁斯，将他淹没在拼死救援的人群中。比约恩趁机拖走鲁斯，返回其旗舰赫拉芬克尔号并逃离。战后，荷鲁斯命令阿巴顿追击野狼至雅兰特，私下却对这场战争流血太多流露出悔意。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0053,699,鲁斯给荷鲁斯的伤口比任何人想象的都要持久得多。时刻困扰着战帅，在贝塔·伽蒙之战中，伤口重新裂开，荷鲁斯陷入昏迷状态。在他昏过去之前，荷鲁斯要求马洛赫斯特动员所有叛变原体前往乌兰诺集结，为向泰拉进军做准备。尽管马洛赫斯特尽最大努力将叛徒的战争势力结合在一起，但没有荷鲁斯的力量，事情开始分崩离析。福格瑞姆和安格隆完全拒绝了动员，而莫塔里安表示他只会接受荷鲁斯本人的动员。在雅兰特战役中，阿巴顿忙于追捕野狼，荷鲁斯·阿西曼德和法库斯·凯博争夺领导权，破坏了马洛赫斯特的权威。马洛赫斯特在绝望中转向珞珈和扎度·拉亚克，以重振战帅。怀言者透露，荷鲁斯的部分灵魂仍被困在摩洛之门内，混沌诸神在争夺如此宝贵的奖品时，简直把它撕裂了。荷鲁斯的大部分灵魂拒绝屈服于黑暗诸神，再加上鲁斯之矛的力量所造成的怀疑，造成了他的昏迷状态。,鲁斯留下的伤口，比任何人想象的都更难愈合。它一直折磨着战帅，并在贝塔·伽蒙之战中再次裂开，使荷鲁斯陷入近乎昏迷的状态。失去意识前，他要求马洛赫斯特向所有叛徒原体发出总召集令，命他们齐聚乌兰诺，准备进军泰拉。马洛赫斯特竭力维持叛军的战争行动，但失去荷鲁斯的权威后，局势仍开始分崩离析。福格瑞姆与安格隆完全拒绝召集，莫塔里安则表示只接受荷鲁斯本人的命令。阿巴顿正忙于在雅兰特追击野狼，荷鲁斯·阿西曼德和法库斯·凯博争夺领导权，削弱了马洛赫斯特的权威。绝望之下，马洛赫斯特求助于珞珈和扎杜·拉亚克，希望唤醒战帅。怀言者告诉他，荷鲁斯的部分灵魂仍困在摩洛之门内；混沌诸神为了争夺这件珍贵战利品，正在将其撕裂。荷鲁斯灵魂的大部分仍不肯向黑暗诸神屈服，再加上鲁斯之矛引发的怀疑，最终造成了昏迷。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0699-B0055,699,在阿西曼德的领导下，荷鲁斯之子在赫塔-格拉迪厄斯面临毁灭，马洛赫斯特与被束缚的恶魔阿玛洛克进行了一场血祭，前往亚空间并试图找回荷鲁斯失去的灵魂。在里面，他发现荷鲁斯在一个永恒的战场上，与来自时间与空间的敌人和生物进行着永无止境的战斗。这个荷鲁斯以为他还在摩洛上，不知道后来发生了什么。马洛赫斯特揭露了真相，并命令荷鲁斯和他一起走。荷鲁斯拒绝服从诸神，并将他的灵魂从这个领域中解放出来，但马洛赫斯特第二次尝试了这一仪式。这一次，两人在胜利前夕来到了乌兰诺。马洛赫斯特恳求荷鲁斯向众神屈服，但战帅拒绝成为奴隶。马洛赫斯特指出，荷鲁斯选择了这条路，不是奴隶，现在回头已经太晚了，战帅必须与帝皇解决问题，结束战争。这一次，马洛赫斯特明白了必须做什么，并将一把刀刺入了荷鲁斯的伤口。随着马洛赫斯特献出自己的生命来唤醒战帅，荷鲁斯醒了过来，立即再次指挥了军团。,在阿西曼德的指挥下，荷鲁斯之子于赫塔-格拉迪厄斯面临覆灭。马洛赫斯特利用被束缚的恶魔阿玛罗克施行鲜血仪式，进入亚空间，试图找回荷鲁斯失落的灵魂碎片。他在那里找到一片永恒战场：荷鲁斯正与来自各个时空的敌人和怪物进行无休止的搏杀。这个荷鲁斯以为自己仍在摩洛，对之后发生的一切毫不知情。马洛赫斯特告诉他真相，劝他随自己离开，但荷鲁斯不肯以向诸神屈服为代价，使灵魂脱离此地。马洛赫斯特于是再度施行仪式。这一次，两人来到凯旋庆典前夕的乌兰诺。马洛赫斯特恳求荷鲁斯向诸神低头，战帅却拒绝沦为奴隶。马洛赫斯特辩称，这条路是荷鲁斯自己选择的，因此并非受人奴役；如今早已无法回头，他必须与帝皇作出了断，结束战争。马洛赫斯特终于明白自己该怎么做，将匕首刺入荷鲁斯的伤口。他以生命为代价唤醒战帅，荷鲁斯随即苏醒，重新接掌军团。,拒绝的是以向诸神屈服来换取灵魂释放；马洛赫斯特所谓“自己选择便不是奴隶”是人物辩词。
